image_id,image_name,annotations
0,1.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
1,10.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
2,100.jpg,"[{'type': 'tag', 'label': 'is_empty'}]"
3,101.jpg,"[{'type': 'tag', 'label': 'is_scattered'}, {'type': 'tag', 'label': 'is_empty'}]"
4,102.jpg,"[{'type': 'tag', 'label': 'is_empty'}]"
5,103.jpg,"[{'type': 'tag', 'label': 'is_empty'}, {'type': 'tag', 'label': 'is_scattered'}]"
6,104.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
7,105.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
8,106.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
9,107.jpg,"[{'type': 'tag', 'label': 'is_full'}, {'type': 'tag', 'label': 'is_scattered'}]"
10,108.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
11,109.jpg,"[{'type': 'tag', 'label': 'is_full'}, {'type': 'tag', 'label': 'is_scattered'}]"
12,11.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
13,110.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
14,111.jpg,"[{'type': 'tag', 'label': 'is_full'}, {'type': 'tag', 'label': 'is_scattered'}]"
15,112.jpg,"[{'type': 'tag', 'label': 'is_empty'}, {'type': 'tag', 'label': 'is_scattered'}]"
16,113.jpg,"[{'type': 'tag', 'label': 'is_empty'}]"
17,114.jpg,"[{'type': 'tag', 'label': 'is_full'}, {'type': 'tag', 'label': 'is_scattered'}]"
18,115.jpg,"[{'type': 'tag', 'label': 'is_full'}, {'type': 'tag', 'label': 'is_scattered'}]"
19,116.jpg,"[{'type': 'tag', 'label': 'is_full'}, {'type': 'tag', 'label': 'is_scattered'}]"
20,117.jpg,"[{'type': 'tag', 'label': 'is_scattered'}, {'type': 'tag', 'label': 'is_full'}]"
21,118.jpg,"[{'type': 'tag', 'label': 'is_empty'}]"
22,119.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
23,12.jpg,"[{'type': 'tag', 'label': 'is_scattered'}, {'type': 'tag', 'label': 'is_full'}]"
24,120.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
25,121.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
26,122.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
27,123.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
28,124.jpg,"[{'type': 'tag', 'label': 'is_full'}, {'type': 'tag', 'label': 'is_scattered'}]"
29,125.jpg,"[{'type': 'tag', 'label': 'is_full'}, {'type': 'tag', 'label': 'is_scattered'}]"
30,126.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
31,127.jpg,"[{'type': 'tag', 'label': 'is_full'}, {'type': 'tag', 'label': 'is_scattered'}]"
32,128.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
33,129.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
34,13.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
35,130.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
36,131.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
37,132.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
38,133.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
39,134.jpg,"[{'type': 'tag', 'label': 'is_full'}, {'type': 'tag', 'label': 'is_scattered'}]"
40,135.jpg,"[{'type': 'tag', 'label': 'is_scattered'}, {'type': 'tag', 'label': 'is_full'}]"
41,136.jpg,"[{'type': 'tag', 'label': 'is_scattered'}, {'type': 'tag', 'label': 'is_full'}]"
42,137.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
43,138.jpg,"[{'type': 'tag', 'label': 'is_empty'}]"
44,139.jpg,"[{'type': 'tag', 'label': 'is_empty'}]"
45,14.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
46,140.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
47,141.jpg,"[{'type': 'tag', 'label': 'is_full'}, {'type': 'tag', 'label': 'is_scattered'}]"
48,142.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
49,143.jpg,"[{'type': 'tag', 'label': 'is_scattered'}, {'type': 'tag', 'label': 'is_full'}]"
50,144.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
51,145.jpg,"[{'type': 'tag', 'label': 'is_scattered'}, {'type': 'tag', 'label': 'is_empty'}]"
52,146.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
53,147.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
54,148.jpg,"[{'type': 'tag', 'label': 'is_full'}, {'type': 'tag', 'label': 'is_scattered'}]"
55,149.jpg,"[{'type': 'tag', 'label': 'is_empty'}]"
56,15.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
57,150.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
58,151.jpg,"[{'type': 'tag', 'label': 'is_empty'}]"
59,152.jpg,"[{'type': 'tag', 'label': 'is_empty'}]"
60,153.jpg,"[{'type': 'tag', 'label': 'is_empty'}]"
61,154.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
62,155.jpg,"[{'type': 'tag', 'label': 'is_scattered'}, {'type': 'tag', 'label': 'is_full'}]"
63,156.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
64,157.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
65,158.jpg,"[{'type': 'tag', 'label': 'is_empty'}, {'type': 'tag', 'label': 'is_scattered'}]"
66,159.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
67,16.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
68,160.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
69,161.jpg,"[{'type': 'tag', 'label': 'is_scattered'}, {'type': 'tag', 'label': 'is_empty'}]"
70,162.jpg,"[{'type': 'tag', 'label': 'is_scattered'}, {'type': 'tag', 'label': 'is_full'}]"
71,17.jpg,"[{'type': 'tag', 'label': 'is_full'}, {'type': 'tag', 'label': 'is_scattered'}]"
72,18.jpg,"[{'type': 'tag', 'label': 'is_full'}, {'type': 'tag', 'label': 'is_scattered'}]"
73,19.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
74,2.jpg,"[{'type': 'tag', 'label': 'is_scattered'}, {'type': 'tag', 'label': 'is_full'}]"
75,20.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
76,21.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
77,22.jpg,"[{'type': 'tag', 'label': 'is_full'}, {'type': 'tag', 'label': 'is_scattered'}]"
78,23.jpg,"[{'type': 'tag', 'label': 'is_full'}, {'type': 'tag', 'label': 'is_scattered'}]"
79,24.jpg,"[{'type': 'tag', 'label': 'is_scattered'}, {'type': 'tag', 'label': 'is_full'}]"
80,25.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
81,26.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
82,27.jpg,"[{'type': 'tag', 'label': 'is_scattered'}, {'type': 'tag', 'label': 'is_full'}]"
83,28.jpg,"[{'type': 'tag', 'label': 'is_scattered'}, {'type': 'tag', 'label': 'is_full'}]"
84,29.jpg,"[{'type': 'tag', 'label': 'is_empty'}]"
85,3.jpg,"[{'type': 'tag', 'label': 'is_full'}, {'type': 'tag', 'label': 'is_scattered'}]"
86,30.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
87,31.jpg,"[{'type': 'tag', 'label': 'is_empty'}]"
88,32.jpg,"[{'type': 'tag', 'label': 'is_empty'}]"
89,33.jpg,"[{'type': 'tag', 'label': 'is_full'}, {'type': 'tag', 'label': 'is_scattered'}]"
90,34.jpg,"[{'type': 'tag', 'label': 'is_full'}, {'type': 'tag', 'label': 'is_scattered'}]"
91,35.jpg,"[{'type': 'tag', 'label': 'is_full'}, {'type': 'tag', 'label': 'is_scattered'}]"
92,36.jpg,"[{'type': 'tag', 'label': 'is_full'}, {'type': 'tag', 'label': 'is_scattered'}]"
93,37.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
94,38.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
95,39.jpg,"[{'type': 'tag', 'label': 'is_full'}, {'type': 'tag', 'label': 'is_scattered'}]"
96,4.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
97,40.jpg,"[{'type': 'tag', 'label': 'is_full'}]"
98,41.jpg,"[{'type': 'tag', 'label': 'is_scattered'}, {'type': 'tag', 'label': 'is_full'}]"
99,42.jpg,"[{'type': 'tag', 'label': 'is_scattered'}, {'type': 'tag', 'label': 'is_full'}]"
